file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,52,css,57ca801c,Yixuan Xin,2025-04-16,21:47:12,-07:00,2025-04-16T21:47:12-07:00,0,6
style.css,53,css,ea73cef9,Yixuan Xin,2025-04-16,21:59:13,-07:00,2025-04-16T21:59:13-07:00,0,13
style.css,54,css,ea73cef9,Yixuan Xin,2025-04-16,21:59:13,-07:00,2025-04-16T21:59:13-07:00,0,30
style.css,55,css,ea73cef9,Yixuan Xin,2025-04-16,21:59:13,-07:00,2025-04-16T21:59:13-07:00,0,39
style.css,56,css,57ca801c,Yixuan Xin,2025-04-16,21:47:12,-07:00,2025-04-16T21:47:12-07:00,0,0
style.css,57,css,5f0c3405,Yixuan Xin,2025-04-19,13:53:24,-07:00,2025-04-19T13:53:24-07:00,0,6
style.css,58,css,57ca801c,Yixuan Xin,2025-04-16,21:47:12,-07:00,2025-04-16T21:47:12-07:00,0,5
style.css,59,css,5f0c3405,Yixuan Xin,2025-04-19,13:53:24,-07:00,2025-04-19T13:53:24-07:00,0,8
style.css,60,css,5f0c3405,Yixuan Xin,2025-04-19,13:53:24,-07:00,2025-04-19T13:53:24-07:00,0,7
style.css,61,css,ea73cef9,Yixuan Xin,2025-04-16,21:59:13,-07:00,2025-04-16T21:59:13-07:00,0,14
style.css,62,css,57ca801c,Yixuan Xin,2025-04-16,21:47:12,-07:00,2025-04-16T21:47:12-07:00,0,11
style.css,63,css,5f0c3405,Yixuan Xin,2025-04-19,13:53:24,-07:00,2025-04-19T13:53:24-07:00,0,20
style.css,64,css,5f0c3405,Yixuan Xin,2025-04-19,13:53:24,-07:00,2025-04-19T13:53:24-07:00,0,18
style.css,65,css,55a756ee,Yixuan Xin,2025-04-16,21:52:52,-07:00,2025-04-16T21:52:52-07:00,0,0
style.css,66,css,55a756ee,Yixuan Xin,2025-04-16,21:52:52,-07:00,2025-04-16T21:52:52-07:00,0,0
style.css,67,css,55a756ee,Yixuan Xin,2025-04-16,21:52:52,-07:00,2025-04-16T21:52:52-07:00,0,7
style.css,68,css,55a756ee,Yixuan Xin,2025-04-16,21:52:52,-07:00,2025-04-16T21:52:52-07:00,0,19
style.css,69,css,4ae230b5,Yixuan Xin,2025-04-16,21:56:43,-07:00,2025-04-16T21:56:43-07:00,0,11
style.css,70,css,c423f159,Yixuan Xin,2025-04-16,21:15:02,-07:00,2025-04-16T21:15:02-07:00,0,0
style.css,71,css,b5f25b3e,Yixuan Xin,2025-04-16,20:54:56,-07:00,2025-04-16T20:54:56-07:00,0,0
style.css,72,css,b5f25b3e,Yixuan Xin,2025-04-16,20:54:56,-07:00,2025-04-16T20:54:56-07:00,0,0
style.css,73,css,8c4f0aab,Yixuan Xin,2025-04-16,18:09:32,-07:00,2025-04-16T18:09:32-07:00,0,9
style.css,74,css,8c4f0aab,Yixuan Xin,2025-04-16,18:09:32,-07:00,2025-04-16T18:09:32-07:00,0,12
style.css,75,css,8c4f0aab,Yixuan Xin,2025-04-16,18:09:32,-07:00,2025-04-16T18:09:32-07:00,0,7
style.css,76,css,8c4f0aab,Yixuan Xin,2025-04-16,18:09:32,-07:00,2025-04-16T18:09:32-07:00,0,59
style.css,77,css,8c4f0aab,Yixuan Xin,2025-04-16,18:09:32,-07:00,2025-04-16T18:09:32-07:00,0,0
style.css,78,css,8c4f0aab,Yixuan Xin,2025-04-16,18:09:32,-07:00,2025-04-16T18:09:32-07:00,0,17
style.css,79,css,8c4f0aab,Yixuan Xin,2025-04-16,18:09:32,-07:00,2025-04-16T18:09:32-07:00,0,12
style.css,80,css,8c4f0aab,Yixuan Xin,2025-04-16,18:09:32,-07:00,2025-04-16T18:09:32-07:00,0,27
style.css,81,css,8c4f0aab,Yixuan Xin,2025-04-16,18:09:32,-07:00,2025-04-16T18:09:32-07:00,0,16
style.css,82,css,8c4f0aab,Yixuan Xin,2025-04-16,18:09:32,-07:00,2025-04-16T18:09:32-07:00,0,0
style.css,83,css,8c4f0aab,Yixuan Xin,2025-04-16,18:09:32,-07:00,2025-04-16T18:09:32-07:00,0,12
style.css,84,css,8c4f0aab,Yixuan Xin,2025-04-16,18:09:32,-07:00,2025-04-16T18:09:32-07:00,0,8
style.css,85,css,8c4f0aab,Yixuan Xin,2025-04-16,18:09:32,-07:00,2025-04-16T18:09:32-07:00,0,16
style.css,86,css,d5533092,Yixuan Xin,2025-04-16,18:16:07,-07:00,2025-04-16T18:16:07-07:00,0,0
style.css,87,css,d5533092,Yixuan Xin,2025-04-16,18:16:07,-07:00,2025-04-16T18:16:07-07:00,0,13
style.css,88,css,d5533092,Yixuan Xin,2025-04-16,18:16:07,-07:00,2025-04-16T18:16:07-07:00,0,10
style.css,89,css,d5533092,Yixuan Xin,2025-04-16,18:16:07,-07:00,2025-04-16T18:16:07-07:00,0,19
style.css,90,css,4a5abbe8,Yixuan Xin,2025-04-16,18:20:47,-07:00,2025-04-16T18:20:47-07:00,0,0
style.css,91,css,4a5abbe8,Yixuan Xin,2025-04-16,18:20:47,-07:00,2025-04-16T18:20:47-07:00,0,44
style.css,92,css,4a5abbe8,Yixuan Xin,2025-04-16,18:20:47,-07:00,2025-04-16T18:20:47-07:00,0,22
style.css,93,css,4a5abbe8,Yixuan Xin,2025-04-16,18:20:47,-07:00,2025-04-16T18:20:47-07:00,0,16
style.css,94,css,4a5abbe8,Yixuan Xin,2025-04-16,18:20:47,-07:00,2025-04-16T18:20:47-07:00,0,18
style.css,95,css,4a5abbe8,Yixuan Xin,2025-04-16,18:20:47,-07:00,2025-04-16T18:20:47-07:00,0,0
style.css,96,css,4a5abbe8,Yixuan Xin,2025-04-16,18:20:47,-07:00,2025-04-16T18:20:47-07:00,0,0
style.css,97,css,4a5abbe8,Yixuan Xin,2025-04-16,18:20:47,-07:00,2025-04-16T18:20:47-07:00,0,2
style.css,98,css,4a5abbe8,Yixuan Xin,2025-04-16,18:20:47,-07:00,2025-04-16T18:20:47-07:00,0,15
style.css,99,css,e1db01d9,Yixuan Xin,2025-04-16,22:11:15,-07:00,2025-04-16T22:11:15-07:00,0,0
style.css,100,css,e1db01d9,Yixuan Xin,2025-04-16,22:11:15,-07:00,2025-04-16T22:11:15-07:00,0,0
style.css,101,css,e1db01d9,Yixuan Xin,2025-04-16,22:11:15,-07:00,2025-04-16T22:11:15-07:00,0,8
style.css,102,css,e1db01d9,Yixuan Xin,2025-04-16,22:11:15,-07:00,2025-04-16T22:11:15-07:00,0,17
style.css,103,css,e1db01d9,Yixuan Xin,2025-04-16,22:11:15,-07:00,2025-04-16T22:11:15-07:00,0,0
style.css,104,css,e1db01d9,Yixuan Xin,2025-04-16,22:11:15,-07:00,2025-04-16T22:11:15-07:00,0,0
style.css,105,css,e1db01d9,Yixuan Xin,2025-04-16,22:11:15,-07:00,2025-04-16T22:11:15-07:00,0,8
style.css,106,css,e1db01d9,Yixuan Xin,2025-04-16,22:11:15,-07:00,2025-04-16T22:11:15-07:00,0,20
style.css,107,css,e1db01d9,Yixuan Xin,2025-04-16,22:11:15,-07:00,2025-04-16T22:11:15-07:00,0,19
style.css,108,css,e1db01d9,Yixuan Xin,2025-04-16,22:11:15,-07:00,2025-04-16T22:11:15-07:00,0,29
style.css,109,css,e1db01d9,Yixuan Xin,2025-04-16,22:11:15,-07:00,2025-04-16T22:11:15-07:00,0,0
